Infrastructure_Type,Defect_Location,Defect_Length_mm,Defect_Width_mm,Defect_Depth_mm,Severity_Level,Lighting_Condition,Occlusion_Level,Inspection_Mode,Target_Defect_Class
Road,Wall,411.61,8.02,44.33,High,Normal,Partial,UAV,Deformation
Building,Deck,279.56,16.76,34.63,Low,Low,Partial,UAV,Spalling
Bridge,Surface,320.36,3.2,72.18,High,Normal,Partial,Ground,Corrosion
Road,Beam,265.51,9.53,29.41,High,Normal,None,Fixed Camera,Crack
Road,Surface,234.27,48.28,25.74,Medium,Low,Partial,UAV,Corrosion
Building,Beam,121.15,21.7,36.27,Low,High,Severe,UAV,Spalling
Bridge,Column,155.08,31.78,18.54,Low,High,None,UAV,Crack
Bridge,Beam,148.54,36.44,69.82,Medium,High,Partial,Fixed Camera,Corrosion
Road,Wall,283.83,18.66,62.01,Medium,Low,Severe,Ground,Corrosion
Tunnel,Deck,64.38,7.79,48.8,Medium,Low,Severe,Ground,Deformation
Road,Column,458.81,10.73,39.64,Low,High,Partial,Ground,Healthy
Road,Beam,361.72,16.01,91.0,High,Normal,Severe,UAV,Deformation
Road,Surface,203.72,31.99,3.88,Low,High,None,Ground,Corrosion
Road,Column,83.52,20.21,77.14,Low,Low,None,UAV,Corrosion
Building,Column,441.59,0.84,90.29,Medium,Normal,Severe,Fixed Camera,Crack
Bridge,Beam,412.77,26.41,45.19,Low,Normal,None,Fixed Camera,Crack
Building,Column,362.25,46.11,55.52,Medium,Low,Partial,Ground,Crack
Building,Surface,139.42,40.7,94.5,High,Normal,Severe,UAV,Crack
Building,Column,204.21,41.35,22.02,High,High,None,UAV,Crack
Road,Surface,55.86,39.86,52.49,High,Low,Partial,Ground,Crack
Tunnel,Beam,98.57,16.52,48.0,Medium,Low,Partial,Fixed Camera,Crack
Bridge,Deck,392.59,38.38,26.58,Medium,Low,None,Fixed Camera,Spalling
Tunnel,Column,358.94,7.59,82.04,Low,Low,Severe,Fixed Camera,Healthy
Building,Deck,298.78,33.06,90.06,Medium,Normal,Partial,Fixed Camera,Healthy
Building,Surface,448.38,32.26,78.41,Low,Low,Partial,Fixed Camera,Crack
Tunnel,Column,293.72,1.77,20.34,Low,Low,Partial,Ground,Corrosion
Tunnel,Wall,236.15,39.5,9.59,Low,Normal,Partial,Ground,Healthy
Tunnel,Deck,173.48,45.21,60.94,Medium,Low,Severe,Ground,Crack
Building,Column,470.52,13.74,6.65,Medium,Normal,None,Fixed Camera,Deformation
Building,Deck,45.94,40.71,67.61,High,Normal,None,Fixed Camera,Spalling
Bridge,Column,465.79,4.58,53.51,Low,Low,None,Ground,Healthy
Bridge,Beam,414.22,30.2,66.62,High,High,Partial,Ground,Healthy
Building,Deck,69.32,24.54,59.43,High,Low,Severe,Fixed Camera,Spalling
Tunnel,Wall,284.67,27.52,42.85,Medium,High,None,UAV,Spalling
Tunnel,Wall,433.94,46.35,20.89,Medium,Normal,Severe,Ground,Crack
Bridge,Surface,288.05,43.63,31.26,Low,High,None,Fixed Camera,Crack
Building,Column,454.06,39.36,52.93,High,Low,Partial,Fixed Camera,Corrosion
Bridge,Deck,471.78,14.05,65.53,Medium,Low,None,Ground,Crack
Bridge,Surface,214.08,45.64,78.17,High,High,Partial,UAV,Crack
Road,Deck,191.77,5.33,76.95,Medium,Low,Partial,Fixed Camera,Corrosion
Road,Column,468.48,42.74,97.3,High,High,None,Ground,Healthy
Road,Wall,339.19,16.74,29.3,High,Normal,Severe,Fixed Camera,Crack
Tunnel,Beam,62.43,3.16,8.04,Low,High,Partial,Fixed Camera,Corrosion
Building,Wall,25.93,33.63,35.22,Low,High,Severe,Fixed Camera,Corrosion
Building,Surface,284.49,11.95,74.59,Medium,High,None,Fixed Camera,Spalling
Building,Beam,465.43,12.56,44.37,Medium,High,Partial,UAV,Crack
Building,Surface,422.9,15.65,81.96,Low,Normal,Severe,Ground,Healthy
Road,Column,339.54,3.65,55.38,High,Normal,Partial,Ground,Spalling
Tunnel,Beam,73.86,9.27,93.05,Medium,Normal,None,Ground,Spalling
Tunnel,Surface,130.84,0.75,94.84,High,High,Partial,Ground,Crack
Road,Column,438.38,22.55,7.86,High,Normal,None,Ground,Corrosion
Tunnel,Wall,95.49,4.67,46.18,Medium,Low,Severe,UAV,Deformation
Road,Column,142.83,34.29,61.36,High,Normal,Partial,Fixed Camera,Crack
Building,Deck,69.15,12.16,26.33,Medium,High,Severe,Fixed Camera,Corrosion
Road,Column,339.67,47.21,41.3,High,Low,None,Ground,Crack
Building,Column,472.27,43.63,68.09,Low,High,None,Fixed Camera,Healthy
Building,Deck,138.14,14.83,23.45,Low,Low,Severe,Fixed Camera,Crack
Bridge,Surface,240.33,39.27,60.6,Medium,High,Severe,Fixed Camera,Healthy
Road,Surface,319.0,40.26,70.05,Medium,High,None,Ground,Corrosion
Bridge,Column,499.74,49.33,9.96,Medium,Low,Severe,Ground,Spalling
Road,Deck,56.88,30.09,50.26,Medium,Normal,None,UAV,Spalling
Road,Deck,251.79,4.56,27.04,Low,Low,Severe,Ground,Crack
Bridge,Wall,195.63,32.52,72.71,High,Low,None,UAV,Corrosion
Bridge,Surface,433.58,31.44,19.77,Medium,Low,None,Ground,Corrosion
Road,Beam,240.6,32.1,89.33,Medium,Low,Partial,Fixed Camera,Crack
Tunnel,Surface,59.93,15.7,43.66,Medium,Low,None,UAV,Deformation
Building,Surface,319.04,43.05,20.6,High,High,None,UAV,Crack
Bridge,Wall,386.54,47.99,44.36,High,High,Partial,UAV,Spalling
Building,Beam,6.43,11.28,41.47,Medium,Normal,Partial,Ground,Corrosion
Tunnel,Wall,430.18,4.86,43.46,Low,Normal,Severe,UAV,Crack
Tunnel,Beam,97.08,10.13,58.97,Medium,Low,Severe,Ground,Spalling
Tunnel,Column,278.27,41.12,52.6,Medium,Normal,None,UAV,Spalling
Bridge,Beam,210.82,33.99,15.83,High,Normal,Severe,Ground,Corrosion
Tunnel,Wall,361.23,31.98,7.49,Low,Low,Severe,UAV,Spalling
Bridge,Surface,188.72,20.39,73.21,High,High,None,Fixed Camera,Crack
Tunnel,Beam,435.53,29.1,56.41,Medium,High,Partial,Fixed Camera,Healthy
Building,Beam,366.6,15.74,36.54,High,Normal,Partial,UAV,Corrosion
Building,Deck,325.62,24.12,81.03,Low,High,None,Ground,Crack
Road,Surface,399.14,39.76,39.42,High,High,None,Ground,Deformation
Building,Column,378.24,49.07,79.8,High,Normal,None,Ground,Crack
Road,Wall,22.79,46.66,31.27,High,Low,None,Fixed Camera,Crack
Building,Column,200.39,46.73,8.21,Low,Normal,None,Fixed Camera,Corrosion
Bridge,Surface,465.75,20.41,93.33,Low,Normal,None,Fixed Camera,Healthy
Building,Beam,67.23,23.71,40.06,Medium,Normal,Severe,Ground,Healthy
Road,Beam,369.86,35.43,79.48,Low,Low,Severe,Ground,Deformation
Road,Surface,487.42,46.15,28.64,Low,Low,Severe,Ground,Corrosion
Tunnel,Beam,30.84,7.53,64.99,Low,Low,Partial,UAV,Spalling
Bridge,Beam,342.69,15.56,87.46,Medium,Low,None,UAV,Corrosion
Building,Beam,236.74,7.39,5.12,Medium,Normal,None,UAV,Corrosion
Tunnel,Wall,291.69,30.79,83.23,Low,High,Severe,Fixed Camera,Healthy
Building,Wall,47.24,15.66,57.56,Low,Normal,Partial,Fixed Camera,Crack
Building,Deck,26.29,16.64,61.14,Medium,Low,Severe,Ground,Corrosion
Tunnel,Column,335.1,4.01,52.79,Medium,High,None,UAV,Healthy
Tunnel,Surface,412.54,17.81,87.57,Low,Normal,None,Ground,Deformation
Tunnel,Surface,392.1,43.19,5.3,Low,High,Severe,UAV,Crack
Tunnel,Surface,274.18,12.04,26.84,High,Low,Severe,UAV,Crack
Tunnel,Deck,54.43,34.91,87.7,High,High,None,Ground,Spalling
Building,Wall,345.58,31.67,75.48,High,High,Severe,Ground,Corrosion
Tunnel,Deck,124.73,43.24,2.75,High,Low,None,UAV,Corrosion
Bridge,Surface,455.98,7.05,52.18,Low,High,Severe,UAV,Corrosion
Road,Column,419.94,48.89,53.43,Medium,Normal,Partial,Fixed Camera,Healthy
Tunnel,Beam,356.14,29.34,40.69,Medium,High,None,Ground,Crack
Tunnel,Wall,474.68,49.78,30.44,Medium,Normal,Partial,Ground,Corrosion
Building,Wall,20.55,45.62,68.49,Low,High,Severe,Ground,Corrosion
Tunnel,Deck,369.42,11.47,21.57,Medium,High,Partial,Ground,Crack
Tunnel,Wall,168.47,3.28,80.1,Medium,Low,Severe,UAV,Crack
Tunnel,Surface,453.5,13.15,80.5,Low,Low,Partial,Fixed Camera,Healthy
Building,Surface,137.0,26.61,42.11,High,Normal,Partial,Ground,Healthy
Tunnel,Deck,363.8,8.99,29.07,Low,Low,Partial,UAV,Crack
Road,Surface,439.44,8.79,29.1,Low,Low,None,UAV,Healthy
Building,Column,25.62,23.4,48.75,Low,Low,Partial,UAV,Crack
Road,Deck,201.84,2.15,72.24,Low,Low,Severe,UAV,Spalling
Building,Column,382.34,6.53,36.53,Low,Low,Severe,UAV,Crack
Tunnel,Beam,230.18,21.09,61.39,High,Normal,None,Ground,Healthy
Road,Column,137.29,3.62,38.87,Medium,Normal,None,Ground,Crack
Building,Beam,113.8,20.14,31.15,Medium,Low,Severe,Fixed Camera,Spalling
Bridge,Beam,70.1,23.96,3.46,Low,Low,Partial,Ground,Deformation
Tunnel,Column,429.28,22.84,1.39,Medium,Normal,Severe,UAV,Crack
Building,Deck,289.8,43.52,23.49,High,High,None,Fixed Camera,Corrosion
Bridge,Surface,42.81,26.74,41.23,Medium,Normal,None,UAV,Crack
Building,Surface,194.38,23.67,85.27,Medium,High,Severe,UAV,Deformation
Bridge,Beam,187.03,20.83,80.05,High,Low,Partial,Ground,Corrosion
Tunnel,Beam,94.96,40.97,27.45,High,Low,Partial,UAV,Spalling
Road,Deck,220.58,44.81,25.21,Medium,Normal,None,Ground,Healthy
Bridge,Wall,169.39,42.74,23.5,Low,Low,Severe,UAV,Corrosion
Building,Column,174.19,33.84,34.58,Medium,High,Severe,Fixed Camera,Crack
Tunnel,Beam,370.82,7.3,50.32,Medium,High,None,UAV,Spalling
Bridge,Surface,115.52,14.21,44.43,Medium,Normal,Severe,Ground,Deformation
Building,Deck,322.72,2.78,22.61,High,High,None,UAV,Healthy
Building,Column,287.47,46.58,13.91,Medium,Normal,Partial,Ground,Crack
Building,Deck,286.21,33.21,2.25,High,Normal,Partial,Ground,Corrosion
Bridge,Column,333.19,37.44,16.24,Low,High,Severe,Fixed Camera,Deformation
Bridge,Column,276.45,15.92,70.83,Low,High,Partial,Ground,Deformation
Bridge,Beam,440.23,42.36,25.12,Low,High,Partial,Fixed Camera,Spalling
Road,Deck,339.41,13.35,47.39,High,High,None,Fixed Camera,Crack
Bridge,Deck,275.75,0.58,59.54,High,High,None,UAV,Corrosion
Bridge,Surface,415.73,19.13,88.8,Medium,High,Severe,Fixed Camera,Crack
Bridge,Surface,305.04,28.75,89.0,Medium,High,None,Ground,Healthy
Road,Beam,149.12,24.2,74.83,Medium,Low,Severe,Ground,Crack
Bridge,Beam,107.51,43.17,4.48,High,Normal,Severe,Fixed Camera,Spalling
Building,Wall,80.4,5.72,57.93,High,Normal,None,UAV,Spalling
Bridge,Surface,450.23,27.91,78.87,Medium,High,Partial,Fixed Camera,Corrosion
Building,Column,356.52,25.89,2.71,Medium,Normal,Partial,Fixed Camera,Corrosion
Building,Deck,469.0,14.43,55.42,Low,High,Partial,Ground,Spalling
Building,Beam,303.63,41.2,85.92,Medium,Low,Partial,UAV,Corrosion
Road,Deck,239.33,37.77,47.94,Medium,Normal,Severe,UAV,Crack
Road,Deck,34.56,36.78,1.41,Low,Normal,Partial,UAV,Corrosion
Road,Wall,337.46,43.87,2.09,High,Low,Severe,UAV,Deformation
Bridge,Surface,293.19,36.28,42.25,Medium,Low,None,Ground,Healthy
Building,Beam,495.15,11.98,16.35,High,Low,None,UAV,Spalling
Road,Deck,123.38,35.43,66.78,Low,Normal,Severe,UAV,Deformation
Road,Beam,267.71,15.73,71.17,Medium,Normal,Partial,UAV,Spalling
Bridge,Column,327.22,12.49,18.61,Medium,Low,Severe,Ground,Spalling
Road,Wall,324.07,4.11,88.96,Low,Low,Partial,Ground,Healthy
Bridge,Column,282.84,37.33,44.75,Medium,Low,Partial,UAV,Corrosion
Tunnel,Beam,389.58,35.69,15.14,Low,Low,Severe,Ground,Crack
Road,Beam,106.47,12.11,76.66,Low,Low,Severe,Fixed Camera,Healthy
Tunnel,Surface,364.19,37.59,79.21,Low,High,Partial,UAV,Deformation
Bridge,Deck,311.77,45.93,64.29,Low,Low,Severe,Ground,Corrosion
Building,Deck,448.56,5.85,85.49,Medium,High,Partial,UAV,Healthy
Road,Column,424.36,12.02,74.0,Low,Normal,Severe,UAV,Corrosion
Bridge,Wall,161.0,37.64,88.34,Medium,Normal,None,Ground,Corrosion
Building,Deck,141.74,14.09,43.95,High,High,Partial,Fixed Camera,Spalling
Building,Surface,490.92,31.42,75.01,Medium,Low,None,UAV,Crack
Tunnel,Column,266.0,4.52,99.98,High,Normal,Severe,Fixed Camera,Deformation
Bridge,Column,453.68,22.88,72.77,Medium,Low,None,Ground,Crack
Building,Surface,86.12,37.09,12.3,Medium,Low,Severe,UAV,Crack
Road,Wall,323.2,34.48,52.31,Low,High,Partial,Ground,Spalling
Road,Surface,405.88,40.85,59.15,High,Normal,Severe,Ground,Spalling
Tunnel,Wall,473.96,43.93,18.25,High,Normal,Severe,Ground,Crack
Building,Surface,171.98,38.77,96.33,Low,High,Partial,Ground,Healthy
Bridge,Surface,363.87,33.74,18.38,Low,Low,Severe,UAV,Spalling
Road,Beam,271.71,2.07,18.58,Low,Low,Partial,Fixed Camera,Crack
Building,Column,35.01,26.98,91.6,Medium,Normal,Severe,Fixed Camera,Corrosion
Building,Surface,346.55,2.37,47.06,Medium,High,Partial,UAV,Deformation
Tunnel,Surface,346.6,40.5,7.26,Medium,High,None,UAV,Spalling
Road,Deck,465.65,16.38,60.22,Low,Low,Severe,Fixed Camera,Crack
Road,Column,251.17,28.34,60.58,High,Low,Severe,Fixed Camera,Crack
Bridge,Deck,118.97,14.33,7.39,Low,High,Severe,UAV,Corrosion
Road,Column,27.06,39.23,97.28,Low,Normal,Partial,Ground,Corrosion
Bridge,Deck,210.74,44.38,54.86,Medium,Low,Severe,UAV,Spalling
Road,Surface,154.45,20.23,56.42,Low,High,Partial,Fixed Camera,Healthy
Tunnel,Surface,381.74,43.21,52.49,Low,High,Severe,Ground,Crack
Road,Beam,180.36,13.72,61.46,Low,High,None,Fixed Camera,Healthy
